open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades
2018-04-30 00:00:00+00:00,0.5,1.5,0.5,0.86483,53708414.92,2018-05-06 23:59:59.999000+00:00,48225866.3360832,92681
2018-05-07 00:00:00+00:00,0.86482,0.86886,0.62519,0.72999,121388954.12,2018-05-13 23:59:59.999000+00:00,90066506.9165114,213438
2018-05-14 00:00:00+00:00,0.72999,0.7499,0.646,0.6994,81026594.05,2018-05-20 23:59:59.999000+00:00,56406093.4299649,138932
2018-05-21 00:00:00+00:00,0.6994,0.705,0.5731,0.60416,119363181.72,2018-05-27 23:59:59.999000+00:00,73665983.1682027,147091
2018-05-28 00:00:00+00:00,0.60417,0.69101,0.54303,0.6901,234446288.89,2018-06-03 23:59:59.999000+00:00,143769550.8907743,200093
2018-06-04 00:00:00+00:00,0.6901,0.707,0.55,0.58201,271258795.74,2018-06-10 23:59:59.999000+00:00,178453619.2352807,239322
2018-06-11 00:00:00+00:00,0.58202,0.6,0.50401,0.52617,210360409.31,2018-06-17 23:59:59.999000+00:00,115011463.0438051,172020
2018-06-18 00:00:00+00:00,0.52669,0.56185,0.43724,0.47331,237851499.47,2018-06-24 23:59:59.999000+00:00,121654736.8714586,171184
2018-06-25 00:00:00+00:00,0.47418,0.4992,0.42393,0.46222,221559858.0,2018-07-01 23:59:59.999000+00:00,102200380.482518,135004
2018-07-02 00:00:00+00:00,0.46222,0.52,0.452,0.47915,228489152.8,2018-07-08 23:59:59.999000+00:00,110303317.659011,139523
2018-07-09 00:00:00+00:00,0.47872,0.48201,0.4236,0.44681,210551925.8,2018-07-15 23:59:59.999000+00:00,94175542.977401,116047
2018-07-16 00:00:00+00:00,0.44695,0.52525,0.431,0.44859,276395688.7,2018-07-22 23:59:59.999000+00:00,130948516.318425,181725
2018-07-23 00:00:00+00:00,0.44859,0.4715,0.438,0.45315,248825450.5,2018-07-29 23:59:59.999000+00:00,113338788.199046,146837
2018-07-30 00:00:00+00:00,0.45315,0.46382,0.4253,0.4345,251962379.8,2018-08-05 23:59:59.999000+00:00,110509336.081156,137392
2018-08-06 00:00:00+00:00,0.43437,0.43699,0.2874,0.29547,329337770.81,2018-08-12 23:59:59.999000+00:00,114669451.669588,211310
2018-08-13 00:00:00+00:00,0.29575,0.37506,0.24672,0.34201,447467944.04,2018-08-19 23:59:59.999000+00:00,137842953.667613,268561
2018-08-20 00:00:00+00:00,0.34201,0.35499,0.31039,0.32276,319657665.2,2018-08-26 23:59:59.999000+00:00,104845271.245089,181637
2018-08-27 00:00:00+00:00,0.32277,0.35809,0.32145,0.34253,340787215.3,2018-09-02 23:59:59.999000+00:00,115741081.400928,210753
2018-09-03 00:00:00+00:00,0.34237,0.34387,0.2676,0.2766,345424289.7,2018-09-09 23:59:59.999000+00:00,104175176.795239,209331
2018-09-10 00:00:00+00:00,0.27699,0.2867,0.25261,0.28122,315998295.1,2018-09-16 23:59:59.999000+00:00,86127872.322051,170064
2018-09-17 00:00:00+00:00,0.28122,0.8,0.26662,0.5719,1848231045.44,2018-09-23 23:59:59.999000+00:00,920723150.68594,1024330
2018-09-24 00:00:00+00:00,0.5719,0.62604,0.43558,0.58257,1852610826.6,2018-09-30 23:59:59.999000+00:00,983199494.495004,1021017
2018-10-01 00:00:00+00:00,0.58257,0.6059,0.46666,0.48269,1065317910.1,2018-10-07 23:59:59.999000+00:00,568170793.9394009,628241
2018-10-08 00:00:00+00:00,0.4826,0.50449,0.37685,0.40994,846440927.9,2018-10-14 23:59:59.999000+00:00,373447557.585233,447969
2018-10-15 00:00:00+00:00,0.40951,0.52179,0.39771,0.46458,789297869.3,2018-10-21 23:59:59.999000+00:00,370459991.49496,434149
2018-10-22 00:00:00+00:00,0.46458,0.48649,0.444,0.46472,280789996.8,2018-10-28 23:59:59.999000+00:00,130259225.1511,200572
2018-10-29 00:00:00+00:00,0.46483,0.47959,0.4343,0.46999,255062271.6,2018-11-04 23:59:59.999000+00:00,116266809.259672,168617
2018-11-05 00:00:00+00:00,0.46999,0.56878,0.461,0.51019,540162399.8,2018-11-11 23:59:59.999000+00:00,279690971.129308,399790
2018-11-12 00:00:00+00:00,0.51018,0.53499,0.422,0.51611,795614369.7,2018-11-18 23:59:59.999000+00:00,388237483.809228,564091
2018-11-19 00:00:00+00:00,0.51608,0.51695,0.32802,0.382,1495928889.8,2018-11-25 23:59:59.999000+00:00,642495187.5088631,945643
2018-11-26 00:00:00+00:00,0.38186,0.40319,0.34625,0.36963,866160179.5,2018-12-02 23:59:59.999000+00:00,322868722.769646,542825
2018-12-03 00:00:00+00:00,0.36974,0.371,0.2865,0.30914,540876691.5,2018-12-09 23:59:59.999000+00:00,174862025.7936684,387854
2018-12-10 00:00:00+00:00,0.30944,0.31377,0.2805,0.28669,332181523.1,2018-12-16 23:59:59.999000+00:00,98650618.307983,257590
2018-12-17 00:00:00+00:00,0.28669,0.39265,0.285,0.3669,1018531472.1,2018-12-23 23:59:59.999000+00:00,358532950.024847,799434
2018-12-24 00:00:00+00:00,0.36691,0.45,0.325,0.36489,1033361262.3,2018-12-30 23:59:59.999000+00:00,391373982.66615,881289
2018-12-31 00:00:00+00:00,0.36488,0.3745,0.3435,0.36042,415447214.3,2019-01-06 23:59:59.999000+00:00,147948162.614968,435310
2019-01-07 00:00:00+00:00,0.36042,0.37963,0.30796,0.31132,558053696.5,2019-01-13 23:59:59.999000+00:00,192332404.501066,576066
2019-01-14 00:00:00+00:00,0.31139,0.33593,0.31089,0.3168,329972703.3,2019-01-20 23:59:59.999000+00:00,106826611.715481,397910
2019-01-21 00:00:00+00:00,0.31697,0.32163,0.30272,0.30646,238355730.8,2019-01-27 23:59:59.999000+00:00,74899219.823727,311673
2019-01-28 00:00:00+00:00,0.30653,0.3358,0.28089,0.30219,629460408.8,2019-02-03 23:59:59.999000+00:00,193004454.759073,611894
2019-02-04 00:00:00+00:00,0.30204,0.32129,0.28809,0.30988,415476528.9,2019-02-10 23:59:59.999000+00:00,125391074.169578,474498
2019-02-11 00:00:00+00:00,0.30985,0.31373,0.296,0.30318,303284489.1,2019-02-17 23:59:59.999000+00:00,91832611.961048,364310
2019-02-18 00:00:00+00:00,0.3031,0.34777,0.29371,0.29757,830088176.6,2019-02-24 23:59:59.999000+00:00,268264332.935767,787476
2019-02-25 00:00:00+00:00,0.29757,0.33975,0.29672,0.31114,691760105.3,2019-03-03 23:59:59.999000+00:00,219606346.721049,629310
2019-03-04 00:00:00+00:00,0.31115,0.32186,0.29728,0.31289,395923440.5,2019-03-10 23:59:59.999000+00:00,123406479.882067,422115
2019-03-11 00:00:00+00:00,0.31279,0.32555,0.30585,0.3154,351513621.2,2019-03-17 23:59:59.999000+00:00,110375348.864761,369572
2019-03-18 00:00:00+00:00,0.31546,0.32275,0.29,0.30787,325521487.4,2019-03-24 23:59:59.999000+00:00,101713040.653881,343658
2019-03-25 00:00:00+00:00,0.30792,0.31834,0.294,0.30889,332594397.7,2019-03-31 23:59:59.999000+00:00,102086328.417457,348848
2019-04-01 00:00:00+00:00,0.30889,0.37999,0.30739,0.3612,1273438659.6,2019-04-07 23:59:59.999000+00:00,444554500.22113,1035003
2019-04-08 00:00:00+00:00,0.36149,0.37012,0.31391,0.32762,590009087.8,2019-04-14 23:59:59.999000+00:00,200275769.819802,545416
2019-04-15 00:00:00+00:00,0.32761,0.34671,0.31311,0.31963,461613903.3,2019-04-21 23:59:59.999000+00:00,151479082.793923,419340
2019-04-22 00:00:00+00:00,0.31972,0.3306,0.28455,0.29946,461019634.3,2019-04-28 23:59:59.999000+00:00,140717808.640725,476955
2019-04-29 00:00:00+00:00,0.29948,0.31856,0.28959,0.30044,368064406.2,2019-05-05 23:59:59.999000+00:00,111762918.530504,459546
2019-05-06 00:00:00+00:00,0.30044,0.3372,0.29061,0.31016,569420319.8,2019-05-12 23:59:59.999000+00:00,176095565.055217,638120
2019-05-13 00:00:00+00:00,0.31014,0.479,0.30785,0.41631,2213834363.4,2019-05-19 23:59:59.999000+00:00,883985121.281768,1638889
2019-05-20 00:00:00+00:00,0.41612,0.41647,0.36091,0.40372,909144883.9,2019-05-26 23:59:59.999000+00:00,353130711.847816,824710
2019-05-27 00:00:00+00:00,0.40364,0.4735,0.399,0.44396,1406969300.3,2019-06-02 23:59:59.999000+00:00,612792450.068619,1195355
2019-06-03 00:00:00+00:00,0.44396,0.465,0.37,0.38527,1088142908.3,2019-06-09 23:59:59.999000+00:00,450284048.839842,1048015
2019-06-10 00:00:00+00:00,0.38528,0.44098,0.37985,0.42703,739815351.2,2019-06-16 23:59:59.999000+00:00,298803574.066757,770645
2019-06-17 00:00:00+00:00,0.42701,0.50999,0.41963,0.47015,1370995933.1,2019-06-23 23:59:59.999000+00:00,616055411.483841,1190657
2019-06-24 00:00:00+00:00,0.47015,0.4968,0.3951,0.3962,1247111048.5,2019-06-30 23:59:59.999000+00:00,552519265.170998,1182027
2019-07-01 00:00:00+00:00,0.39637,0.42298,0.37325,0.39651,624163351.7,2019-07-07 23:59:59.999000+00:00,247012578.900596,696104
2019-07-08 00:00:00+00:00,0.39651,0.40725,0.2992,0.30366,808241982.3,2019-07-14 23:59:59.999000+00:00,282087620.426744,815321
2019-07-15 00:00:00+00:00,0.30366,0.34094,0.286,0.33075,829642015.9,2019-07-21 23:59:59.999000+00:00,259687892.943057,883369
2019-07-22 00:00:00+00:00,0.33059,0.33259,0.3,0.31218,412810611.1,2019-07-28 23:59:59.999000+00:00,129897945.138143,488283
2019-07-29 00:00:00+00:00,0.31217,0.32348,0.306,0.31813,322515689.7,2019-08-04 23:59:59.999000+00:00,101647396.930996,396061
2019-08-05 00:00:00+00:00,0.31823,0.331,0.2901,0.30316,429639163.6,2019-08-11 23:59:59.999000+00:00,133240126.625171,478641
2019-08-12 00:00:00+00:00,0.30316,0.30536,0.243,0.2832,483794636.9,2019-08-18 23:59:59.999000+00:00,131700251.018516,472944
2019-08-19 00:00:00+00:00,0.28321,0.29035,0.25871,0.26954,370705937.1,2019-08-25 23:59:59.999000+00:00,101092476.387215,401279
2019-08-26 00:00:00+00:00,0.26961,0.27969,0.247,0.25593,338859762.6,2019-09-01 23:59:59.999000+00:00,88046175.941866,338232
2019-09-02 00:00:00+00:00,0.25596,0.267,0.24692,0.26205,392138885.3,2019-09-08 23:59:59.999000+00:00,101279408.202853,386042
2019-09-09 00:00:00+00:00,0.26205,0.26551,0.25087,0.26022,404570671.9,2019-09-15 23:59:59.999000+00:00,104298067.12566,323808
2019-09-16 00:00:00+00:00,0.26015,0.32631,0.25664,0.27653,1230883471.5,2019-09-22 23:59:59.999000+00:00,360931925.15585,710727
2019-09-23 00:00:00+00:00,0.27656,0.28666,0.21333,0.24024,930770142.2,2019-09-29 23:59:59.999000+00:00,231253064.192724,574534
2019-09-30 00:00:00+00:00,0.24024,0.26192,0.2354,0.25552,687733563.6,2019-10-06 23:59:59.999000+00:00,172972994.101075,448832
