open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades
2019-01-16 00:00:00+00:00,0.5355,0.5355,0.4668,0.4895,1343660.31,2019-01-16 23:59:59.999000+00:00,665013.644449,3492
2019-01-17 00:00:00+00:00,0.4895,0.4953,0.4639,0.4756,1411725.35,2019-01-17 23:59:59.999000+00:00,673447.208597,3987
2019-01-18 00:00:00+00:00,0.4762,0.5112,0.4601,0.4894,984417.59,2019-01-18 23:59:59.999000+00:00,474999.286242,5662
2019-01-19 00:00:00+00:00,0.4908,0.5,0.4673,0.4831,735443.2,2019-01-19 23:59:59.999000+00:00,354090.041046,4482
2019-01-20 00:00:00+00:00,0.4803,0.492,0.459,0.4834,677499.56,2019-01-20 23:59:59.999000+00:00,323333.553838,2098
2019-01-21 00:00:00+00:00,0.4839,0.5198,0.465,0.4972,897787.84,2019-01-21 23:59:59.999000+00:00,446086.78762,3020
2019-01-22 00:00:00+00:00,0.496,0.5656,0.4956,0.5344,1784953.5,2019-01-22 23:59:59.999000+00:00,955513.881021,4972
2019-01-23 00:00:00+00:00,0.5342,0.5475,0.4901,0.5046,1827069.39,2019-01-23 23:59:59.999000+00:00,940352.297759,4592
2019-01-24 00:00:00+00:00,0.5046,0.5065,0.4518,0.5017,1529219.53,2019-01-24 23:59:59.999000+00:00,745639.12774,3970
2019-01-25 00:00:00+00:00,0.5031,0.5157,0.4712,0.4739,1112869.08,2019-01-25 23:59:59.999000+00:00,544844.844073,3319
2019-01-26 00:00:00+00:00,0.4736,0.4884,0.4624,0.4661,865653.89,2019-01-26 23:59:59.999000+00:00,410185.821637,2529
2019-01-27 00:00:00+00:00,0.4661,0.4666,0.4229,0.4303,2278919.65,2019-01-27 23:59:59.999000+00:00,1004304.902092,4757
2019-01-28 00:00:00+00:00,0.431,0.4313,0.3504,0.4116,4006211.85,2019-01-28 23:59:59.999000+00:00,1540777.018846,7036
2019-01-29 00:00:00+00:00,0.4104,0.4638,0.4061,0.4505,5190825.37,2019-01-29 23:59:59.999000+00:00,2252399.736119,10723
2019-01-30 00:00:00+00:00,0.4505,0.4514,0.413,0.4249,2092369.59,2019-01-30 23:59:59.999000+00:00,897815.126911,5128
2019-01-31 00:00:00+00:00,0.425,0.441,0.3811,0.3832,2029033.61,2019-01-31 23:59:59.999000+00:00,826552.030246,4899
2019-02-01 00:00:00+00:00,0.385,0.43,0.38,0.4147,1899232.56,2019-02-01 23:59:59.999000+00:00,768342.467271,3972
2019-02-02 00:00:00+00:00,0.4163,0.433,0.3985,0.4136,821033.48,2019-02-02 23:59:59.999000+00:00,340840.331218,2351
2019-02-03 00:00:00+00:00,0.417,0.417,0.386,0.3963,1065170.56,2019-02-03 23:59:59.999000+00:00,424303.971749,2400
2019-02-04 00:00:00+00:00,0.3959,0.4125,0.3867,0.3943,1449384.96,2019-02-04 23:59:59.999000+00:00,579009.583139,2746
2019-02-05 00:00:00+00:00,0.3926,0.4327,0.3902,0.4224,1299107.03,2019-02-05 23:59:59.999000+00:00,532341.103934,3411
2019-02-06 00:00:00+00:00,0.4224,0.4236,0.3915,0.4,1368546.21,2019-02-06 23:59:59.999000+00:00,552819.621243,3815
2019-02-07 00:00:00+00:00,0.4,0.4065,0.3913,0.4021,498842.36,2019-02-07 23:59:59.999000+00:00,199193.78253,1770
2019-02-08 00:00:00+00:00,0.4021,0.45,0.3985,0.4383,2015969.58,2019-02-08 23:59:59.999000+00:00,859693.298603,5194
2019-02-09 00:00:00+00:00,0.4371,0.4844,0.431,0.4612,1384815.95,2019-02-09 23:59:59.999000+00:00,637171.045365,4320
2019-02-10 00:00:00+00:00,0.4648,0.48,0.4325,0.4499,2000850.55,2019-02-10 23:59:59.999000+00:00,913391.61962,5046
2019-02-11 00:00:00+00:00,0.4495,0.4515,0.42,0.4289,1580197.39,2019-02-11 23:59:59.999000+00:00,685555.872631,4364
2019-02-12 00:00:00+00:00,0.4277,0.4374,0.4176,0.4277,941303.58,2019-02-12 23:59:59.999000+00:00,400668.760404,2718
2019-02-13 00:00:00+00:00,0.4277,0.4454,0.4183,0.4411,935377.38,2019-02-13 23:59:59.999000+00:00,400576.99087,2886
2019-02-14 00:00:00+00:00,0.4422,0.4442,0.4203,0.4259,942053.44,2019-02-14 23:59:59.999000+00:00,407685.941353,3034
2019-02-15 00:00:00+00:00,0.4235,0.45,0.4222,0.4342,612251.8,2019-02-15 23:59:59.999000+00:00,264659.849465,2328
2019-02-16 00:00:00+00:00,0.4366,0.4464,0.4251,0.4398,465491.58,2019-02-16 23:59:59.999000+00:00,203941.272106,1988
2019-02-17 00:00:00+00:00,0.4386,0.4797,0.4317,0.4604,1616509.72,2019-02-17 23:59:59.999000+00:00,740396.471002,4667
2019-02-18 00:00:00+00:00,0.4615,0.4823,0.4534,0.471,1430254.78,2019-02-18 23:59:59.999000+00:00,671573.658591,4250
2019-02-19 00:00:00+00:00,0.471,0.4789,0.452,0.4598,1548002.44,2019-02-19 23:59:59.999000+00:00,724054.883013,4036
2019-02-20 00:00:00+00:00,0.4548,0.4748,0.4432,0.4618,1358786.28,2019-02-20 23:59:59.999000+00:00,625130.767047,3853
2019-02-21 00:00:00+00:00,0.4617,0.475,0.438,0.4438,1443214.98,2019-02-21 23:59:59.999000+00:00,655875.790716,4183
2019-02-22 00:00:00+00:00,0.4438,0.465,0.44,0.4479,700523.77,2019-02-22 23:59:59.999000+00:00,313850.863647,2334
2019-02-23 00:00:00+00:00,0.448,0.464,0.4437,0.4585,925529.64,2019-02-23 23:59:59.999000+00:00,419693.727298,2632
2019-02-24 00:00:00+00:00,0.4592,0.4644,0.3975,0.405,2154193.25,2019-02-24 23:59:59.999000+00:00,917345.275562,4851
2019-02-25 00:00:00+00:00,0.4047,0.4749,0.4007,0.4723,1785356.21,2019-02-25 23:59:59.999000+00:00,783690.750459,4943
2019-02-26 00:00:00+00:00,0.4722,0.474,0.43,0.4341,1775526.67,2019-02-26 23:59:59.999000+00:00,796546.586808,4223
2019-02-27 00:00:00+00:00,0.4335,0.4412,0.4145,0.4274,854212.45,2019-02-27 23:59:59.999000+00:00,365787.418355,2137
2019-02-28 00:00:00+00:00,0.4274,0.45,0.4166,0.4244,1059968.13,2019-02-28 23:59:59.999000+00:00,455311.559954,2857
2019-03-01 00:00:00+00:00,0.4236,0.4386,0.4203,0.4285,560690.81,2019-03-01 23:59:59.999000+00:00,239706.048076,1648
2019-03-02 00:00:00+00:00,0.4286,0.4372,0.4173,0.4221,331570.0,2019-03-02 23:59:59.999000+00:00,140599.974044,1133
2019-03-03 00:00:00+00:00,0.4232,0.4292,0.4177,0.4205,225429.95,2019-03-03 23:59:59.999000+00:00,95660.216465,911
2019-03-04 00:00:00+00:00,0.4203,0.4255,0.3929,0.4036,946382.19,2019-03-04 23:59:59.999000+00:00,387502.948292,2834
2019-03-05 00:00:00+00:00,0.4029,0.4343,0.4023,0.4291,1686179.9,2019-03-05 23:59:59.999000+00:00,703630.897735,4232
2019-03-06 00:00:00+00:00,0.4291,0.4385,0.4186,0.4296,716328.15,2019-03-06 23:59:59.999000+00:00,305884.809425,2057
2019-03-07 00:00:00+00:00,0.4296,0.4766,0.4256,0.4521,1498764.03,2019-03-07 23:59:59.999000+00:00,677393.543142,4029
2019-03-08 00:00:00+00:00,0.4521,0.5107,0.4519,0.4611,3248280.83,2019-03-08 23:59:59.999000+00:00,1570069.711841,9622
2019-03-09 00:00:00+00:00,0.4611,0.4824,0.4524,0.4746,1381686.43,2019-03-09 23:59:59.999000+00:00,643096.002798,4288
2019-03-10 00:00:00+00:00,0.4742,0.546,0.4681,0.4981,2887991.86,2019-03-10 23:59:59.999000+00:00,1456511.395647,10121
2019-03-11 00:00:00+00:00,0.4982,0.5181,0.4382,0.4629,2633054.21,2019-03-11 23:59:59.999000+00:00,1262800.852306,7157
2019-03-12 00:00:00+00:00,0.4641,0.5079,0.4503,0.4876,2105182.67,2019-03-12 23:59:59.999000+00:00,1016416.428628,5965
2019-03-13 00:00:00+00:00,0.4872,0.488,0.4671,0.4805,1263356.68,2019-03-13 23:59:59.999000+00:00,602730.177399,4399
